"Subject"	"TrialType"	"numErr"	"GenType"	"Task"	"ConType"	"PrimeType"	"TargetType"	"numTOErr"	"numComErr"	"Observer"	"Effort"	"Attend"	"Anx"
84	"WITnumErr_ww"	13	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	9	"Absent"	5	5	3
85	"WITnumErr_ww"	10	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	6	"Present"	6	6	5
86	"WITnumErr_ww"	14	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	7	"Absent"	7	6	4
87	"WITnumErr_ww"	28	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	20	8	"Present"	7	7	2
88	"WITnumErr_ww"	25	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	14	11	"Absent"	7	6	7
89	"WITnumErr_ww"	11	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	5	"Present"	5	5	7
90	"WITnumErr_ww"	29	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	24	"Absent"	6	5	5
91	"WITnumErr_ww"	14	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	10	"Present"	7	7	3
92	"WITnumErr_ww"	16	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	13	"Absent"	6	6	6
93	"WITnumErr_ww"	18	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	13	"Present"	6	5	4
94	"WITnumErr_ww"	22	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	9	13	"Absent"	6	5	5
95	"WITnumErr_ww"	26	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	19	7	"Present"	6	6	3
96	"WITnumErr_ww"	23	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	0	23	"Absent"	7	7	6
97	"WITnumErr_ww"	22	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	10	12	"Present"	7	7	5
98	"WITnumErr_ww"	32	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	10	22	"Absent"	6	6	5
99	"WITnumErr_ww"	17	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	10	"Present"	6	5	1
100	"WITnumErr_ww"	13	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	11	"Absent"	6	5	4
101	"WITnumErr_ww"	10	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	0	10	"Present"	6	6	4
1	"WITnumErr_bt"	29	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	6	23	"Present"	6	6	1
2	"WITnumErr_bt"	16	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	6	10	"Absent"	6	6	3
3	"WITnumErr_bt"	26	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	8	18	"Present"	7	7	6
4	"WITnumErr_bt"	NA	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	NA	NA	"Absent"	5	5	3
5	"WITnumErr_bt"	34	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	5	29	"Present"	6	5	6
6	"WITnumErr_bt"	27	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	3	24	"Absent"	5	5	3
7	"WITnumErr_bt"	NA	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	NA	NA	"Present"	6	6	5
8	"WITnumErr_bt"	28	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	2	26	"Absent"	2	2	4
9	"WITnumErr_bt"	NA	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	NA	NA	"Present"	6	5	5
10	"WITnumErr_bt"	13	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	4	9	"Absent"	7	7	5
11	"WITnumErr_bt"	26	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	7	19	"Present"	5	5	2
12	"WITnumErr_bt"	32	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	10	22	"Absent"	6	5	6
13	"WITnumErr_bt"	17	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	11	6	"Present"	7	5	5
14	"WITnumErr_bt"	24	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	5	19	"Absent"	6	7	6
15	"WITnumErr_bt"	NA	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	NA	NA	"Present"	6	5	6
16	"WITnumErr_bt"	17	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	6	11	"Absent"	7	7	5
17	"WITnumErr_bt"	27	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	3	24	"Present"	7	7	6
18	"WITnumErr_bt"	34	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	7	27	"Absent"	6	5	7
19	"WITnumErr_bt"	4	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	2	2	"Present"	7	7	6
20	"WITnumErr_bt"	21	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	6	15	"Absent"	7	7	4
21	"WITnumErr_bt"	23	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	13	10	"Present"	7	6	2
22	"WITnumErr_bt"	28	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	13	15	"Absent"	7	7	4
23	"WITnumErr_bt"	13	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	5	8	"Present"	6	4	5
24	"WITnumErr_bt"	12	"black_incon"	"WIT"	"incongruent"	"black"	"tool"	5	7	"Absent"	7	6	2
