"Subject"	"Task"	"Observer"	"Black_C"	"Black_A"	"White_C"	"White_A"	"MeanC"	"AResids"	"CResids"
80	"AP"	"Absent"	0.291666666666667	0.705882352941176	0.291666666666667	0.441176470588235	0.291666666666667	0.278049876119993	0.0386352133497779
81	"AP"	"Present"	0.333333333333333	0.375	0.583333333333333	0.2	0.458333333333333	0.00656575452373988	-0.162010172118726
82	"AP"	"Absent"	-0.0208333333333333	0.36734693877551	-0.104166666666667	0.433962264150943	-0.0625	-0.058708784692051	0.0549872841046528
83	"AP"	"Present"	0.395833333333333	0.310344827586207	0.479166666666667	0.28	0.4375	-0.0777922458483691	-0.0129701534990224
84	"AP"	"Absent"	0.0625	0.4	0.229166666666667	0.486486486486486	0.145833333333333	-0.0389916699215804	-0.138607442145066
85	"AP"	"Present"	0.479166666666667	0.44	0.645833333333333	0.529411764705882	0.5625	-0.00956353706932534	-0.0681008499572153
86	"AP"	"Absent"	0.1875	0.487179487179487	0.416666666666667	0.392857142857143	0.302083333333333	0.0712473528751442	-0.169379475660533
87	"AP"	"Present"	0.3125	0.0909090909090909	0.208333333333333	0.263157894736842	0.260416666666667	-0.293080018744787	0.128700561578874
88	"AP"	"Absent"	0.125	0.380952380952381	0.166666666666667	0.25	0.145833333333333	0.000203868002173396	-0.024183430973244
89	"AP"	"Present"	0.541666666666667	0.136363636363636	0.541666666666667	0.318181818181818	0.541666666666667	-0.26117705950559	0.0809391686624886
90	"AP"	"Absent"	0.145833333333333	0.341463414634146	0.291666666666667	0.529411764705882	0.21875	-0.108100122435179	-0.107198119983555
91	"AP"	"Present"	0.145833333333333	0.365853658536585	0.3125	0.606060606060606	0.229166666666667	-0.102587365212945	-0.124506123707496
92	"AP"	"Absent"	0.395833333333333	0.275862068965517	0.541666666666667	0.545454545454545	0.46875	-0.177652569967107	-0.0648941646708447
93	"AP"	"Present"	0.229166666666667	0.378378378378378	0.416666666666667	0.75	0.322916666666667	-0.125512809311303	-0.127712808993867
94	"AP"	"Absent"	0.5625	0.428571428571429	0.458333333333333	0.538461538461538	0.510416666666667	-0.023220935190014	0.171004516891585
95	"AP"	"Present"	0.4375	0.333333333333333	0.645833333333333	0.411764705882353	0.541666666666667	-0.0872554567384688	-0.109767516623882
96	"AP"	"Absent"	0.625	0.555555555555556	0.416666666666667	0.607142857142857	0.520833333333333	0.0868479892200094	0.268120524339467
97	"AP"	"Present"	0.6875	0.733333333333333	0.520833333333333	0.391304347826087	0.604166666666667	0.317783629695883	0.244080505719763
98	"AP"	"Absent"	0.0416666666666667	0.326086956521739	0.125	0.619047619047619	0.0833333333333333	-0.145552578259985	-0.0729007568586958
99	"AP"	"Present"	0.354166666666667	0.419354838709677	0.520833333333333	0.434782608695652	0.4375	-0.0069029236007705	-0.0892528276135706
100	"AP"	"Absent"	0.458333333333333	0.461538461538462	0.541666666666667	0.590909090909091	0.5	-0.00317096600684194	-0.0023941646708448
101	"AP"	"Present"	0.354166666666667	0.645161290322581	0.395833333333333	0.620689655172414	0.375	0.173117346100004	0.014595194730074
